observation,tempC_7to8,tempC_1to2,tempC_6to7,humidity_7to8,humidity_1to2,humidity_6to7,windspeedKmph_7to8,windspeedKmph_1to2,windspeedKmph_6to7,pressureMB_7to8,pressureMB_1to2,pressureMB_6to7,precipMM_7to8,precipMM_1to2,precipMM_6to7,weatherDesc_7to8,weatherDesc_1to2,weatherDesc_6to7
2010-04-07,35,41,30,15,8,16,4,4,5,1011,1008,1010,0.0,0.0,0.0,Clear,Partly cloudy,Overcast
2010-04-08,35,42,30,12,9,20,5,4,5,1011,1008,1010,0.0,0.0,0.0,Partly cloudy,Partly cloudy,Partly cloudy
2010-04-09,32,33,26,36,29,47,6,13,3,1012,1010,1012,0.0,0.0,0.4,Clear,Partly cloudy,Light rain
2010-04-10,31,37,28,44,19,32,5,11,7,1010,1006,1008,0.1,0.0,0.0,Patchy rain possible,Sunny,Sunny
2010-04-11,31,39,28,26,9,21,7,13,8,1010,1005,1007,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-04-12,33,38,29,25,12,24,7,14,7,1008,1005,1007,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-04-14,32,40,30,37,17,42,6,9,8,1009,1006,1007,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-04-15,35,40,31,31,16,35,3,6,7,1010,1007,1008,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-04-16,35,40,31,24,14,29,7,8,7,1010,1006,1008,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-04-17,33,38,29,37,18,37,6,11,9,1011,1007,1009,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-04-18,33,39,29,27,18,46,7,15,9,1011,1007,1009,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-04-19,31,37,28,44,21,46,9,18,8,1010,1006,1008,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-04-20,31,37,28,40,17,35,9,17,8,1009,1005,1007,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-04-21,32,38,28,34,15,39,8,15,9,1009,1006,1008,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-04-22,33,38,30,34,17,29,8,11,8,1010,1007,1008,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-04-23,33,39,31,33,15,21,7,10,6,1010,1007,1008,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-04-24,34,39,29,27,13,27,6,10,9,1010,1007,1008,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-04-25,33,38,29,26,13,33,10,15,8,1009,1006,1007,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-04-26,33,39,30,34,14,33,5,12,8,1011,1008,1010,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-04-27,35,40,29,28,11,30,7,13,8,1012,1008,1010,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-04-28,35,39,29,29,13,30,7,15,8,1011,1007,1008,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-04-29,34,39,30,36,15,30,5,7,3,1009,1006,1008,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-04-30,34,34,28,27,28,45,6,10,6,1011,1008,1011,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-05-01,30,31,27,51,40,50,5,3,5,1013,1010,1010,0.2,0.1,0.0,Patchy light rain with thunder,Light rain shower,Sunny
2010-05-02,33,35,30,37,23,35,6,6,8,1011,1007,1008,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-05-03,33,29,25,40,50,67,7,4,6,1009,1005,1006,0.0,0.2,2.8,Clear,Patchy light rain with thunder,Patchy rain possible
2010-05-04,32,36,28,44,25,46,3,7,9,1008,1004,1005,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-05-05,32,37,28,40,20,43,6,12,10,1007,1003,1005,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-05-06,32,38,29,44,20,37,7,13,8,1007,1004,1005,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-05-07,34,37,32,33,22,32,8,8,7,1007,1003,1005,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-05-08,31,37,30,42,19,30,8,12,7,1007,1004,1005,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-05-09,34,39,31,34,17,31,9,13,9,1007,1003,1005,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-05-10,34,39,31,29,14,27,9,14,8,1006,1003,1005,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-05-11,33,39,30,28,12,25,10,16,8,1007,1004,1005,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-05-12,33,39,30,33,14,40,9,14,9,1007,1004,1005,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-05-13,33,39,29,43,18,57,8,14,11,1007,1004,1006,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-05-14,32,38,29,44,22,50,8,15,10,1007,1003,1004,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-05-15,32,38,29,41,23,51,9,14,9,1007,1004,1005,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-05-16,33,39,29,37,17,47,8,15,9,1007,1004,1005,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-05-18,34,40,32,26,16,25,9,9,9,1006,1003,1004,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-05-19,35,39,33,31,17,31,7,10,6,1005,1002,1003,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-05-20,34,40,30,36,17,47,10,14,11,1004,1001,1002,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-05-21,33,37,30,51,32,55,9,13,13,1005,1002,1003,0.0,0.0,0.0,Clear,Partly cloudy,Sunny
2010-05-22,32,39,30,54,25,55,10,12,13,1006,1002,1004,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-05-23,32,39,30,48,24,56,12,14,13,1007,1003,1004,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-05-24,33,38,30,50,21,53,13,17,12,1006,1003,1005,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-05-25,31,37,28,54,29,55,14,18,13,1006,1003,1005,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-05-26,31,35,28,57,36,66,15,20,15,1007,1004,1006,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-05-27,29,34,27,65,39,69,15,20,14,1007,1004,1006,0.0,0.0,0.0,Partly cloudy,Sunny,Sunny
2010-05-28,29,35,28,62,36,62,14,17,12,1008,1005,1007,0.0,0.0,0.0,Partly cloudy,Sunny,Sunny
2010-05-29,29,36,28,65,29,55,10,15,10,1009,1005,1006,0.0,0.0,0.0,Partly cloudy,Sunny,Sunny
2010-05-30,31,37,29,51,22,44,9,15,8,1009,1005,1007,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-05-31,31,37,29,42,26,56,9,15,12,1008,1005,1007,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-06-01,32,34,28,53,38,70,8,10,11,1010,1006,1008,0.0,0.0,0.7,Clear,Partly cloudy,Patchy rain possible
2010-06-02,30,33,27,53,44,69,9,11,9,1010,1008,1010,0.0,0.0,0.3,Clear,Partly cloudy,Patchy rain possible
2010-06-03,30,34,28,60,43,67,9,12,9,1011,1008,1010,0.0,0.1,0.0,Clear,Patchy rain possible,Sunny
2010-06-04,30,34,27,60,43,66,11,16,9,1011,1009,1010,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-06-05,28,33,26,65,44,75,12,16,11,1011,1007,1008,0.1,0.0,0.0,Patchy rain possible,Sunny,Sunny
2010-06-06,28,32,25,64,48,75,10,18,12,1009,1006,1007,0.0,0.1,0.0,Partly cloudy,Patchy rain possible,Sunny
2010-06-07,27,32,25,69,45,78,12,17,10,1007,1005,1008,0.0,0.0,0.1,Partly cloudy,Sunny,Patchy rain possible
2010-06-08,29,33,27,60,40,63,9,11,8,1008,1005,1006,0.0,0.0,0.0,Clear,Sunny,Sunny
2010-06-09,31,32,27,55,48,72,7,6,3,1007,1003,1005,0.0,0.7,0.9,Partly cloudy,Moderate or heavy rain shower,Patchy rain possible
2010-06-10,32,35,29,50,37,61,3,6,8,1006,1002,1003,0.0,0.0,0.0,Partly cloudy,Partly cloudy,Sunny
2010-06-11,30,35,29,58,34,62,7,8,13,1004,1001,1002,0.0,0.0,0.1,Partly cloudy,Partly cloudy,Patchy rain possible
2010-06-12,31,35,30,61,33,54,9,5,10,1003,1000,1001,0.0,0.0,0.0,Partly cloudy,Partly cloudy,Sunny
2010-06-13,31,37,30,53,31,58,9,12,13,1003,999,1001,0.0,0.0,0.0,Clear,Partly cloudy,Sunny
2010-06-14,29,30,25,74,68,92,10,10,8,1004,1002,1004,0.2,1.5,2.1,Light rain shower,Moderate or heavy rain shower,Moderate rain
2010-06-15,25,24,23,89,94,97,3,4,11,1004,1002,1003,0.5,1.3,5.3,Light rain shower,Moderate rain,Heavy rain
2010-06-16,25,27,24,92,85,95,4,4,6,1004,1003,1004,0.6,0.7,0.4,Moderate or heavy rain shower,Moderate or heavy rain shower,Patchy light rain
2010-06-17,26,29,25,78,67,91,4,7,4,1004,1003,1004,0.0,0.4,0.4,Partly cloudy,Light rain shower,Light rain shower
2010-06-18,28,30,27,77,70,87,5,4,3,1006,1003,1004,0.0,0.8,0.1,Partly cloudy,Moderate or heavy rain shower,Patchy rain possible
2010-06-19,27,27,25,83,90,95,4,5,7,1005,1003,1004,0.0,1.1,1.2,Cloudy,Moderate or heavy rain shower,Moderate rain at times
2010-06-21,26,26,24,82,92,96,8,6,7,1007,1005,1006,0.0,1.5,1.8,Cloudy,Moderate or heavy rain shower,Moderate rain at times
2010-06-22,26,29,25,84,78,94,8,10,7,1006,1003,1005,0.0,0.8,0.0,Partly cloudy,Moderate or heavy rain shower,Partly cloudy
2010-06-23,27,28,24,83,75,94,7,10,8,1005,1004,1005,0.0,0.9,0.1,Cloudy,Moderate or heavy rain shower,Light rain shower
2010-06-24,26,28,24,82,77,94,7,9,8,1004,1002,1003,0.1,0.8,0.5,Light rain shower,Moderate or heavy rain shower,Light rain shower
2010-06-25,25,27,24,87,81,94,6,8,7,1003,1000,1002,0.3,0.7,0.0,Light rain shower,Moderate or heavy rain shower,Cloudy
2010-06-26,27,31,25,79,65,94,4,5,6,1003,1001,1002,0.0,0.6,0.9,Cloudy,Moderate or heavy rain shower,Light rain shower
2010-06-27,29,29,25,73,74,95,3,8,5,1004,1002,1003,0.0,1.0,1.2,Partly cloudy,Moderate or heavy rain shower,Moderate or heavy rain shower
2010-06-28,26,27,24,88,86,95,7,8,10,1005,1003,1003,0.0,0.6,1.1,Cloudy,Moderate or heavy rain shower,Light rain
2010-06-29,26,27,24,89,87,97,7,7,6,1004,1003,1004,0.2,1.6,2.8,Light rain shower,Moderate or heavy rain shower,Moderate rain
2010-06-30,24,25,23,96,93,97,8,10,7,1004,1003,1004,1.6,0.7,0.5,Moderate rain,Moderate rain at times,Light rain
2010-07-01,24,25,23,91,88,95,6,7,5,1005,1003,1004,0.0,0.2,0.1,Light rain shower,Patchy light drizzle,Patchy light drizzle
2010-07-02,24,24,23,91,94,98,5,5,7,1004,1003,1003,0.2,0.7,4.1,Light rain shower,Moderate or heavy rain shower,Heavy rain
2010-07-03,23,23,22,97,98,99,9,9,8,1003,1002,1002,0.7,3.6,6.3,Moderate rain,Heavy rain,Heavy rain
2010-07-04,23,23,22,97,95,97,8,7,7,1003,1002,1002,0.2,0.1,0.1,Light drizzle,Light drizzle,Light rain shower
2010-07-05,24,26,23,92,84,95,9,11,8,1004,1003,1005,0.0,0.2,0.1,Light rain shower,Patchy rain possible,Light rain shower
2010-07-06,24,25,23,91,87,95,9,12,7,1005,1003,1006,0.1,0.2,0.2,Light drizzle,Light rain shower,Light rain shower
2010-07-07,24,26,23,88,83,95,9,11,8,1005,1004,1006,0.0,0.2,0.7,Cloudy,Patchy rain possible,Light rain
2010-07-08,25,26,23,86,82,94,9,13,10,1007,1006,1008,0.0,0.4,0.3,Cloudy,Light rain shower,Light rain shower
2010-07-09,24,26,23,88,82,94,9,12,8,1008,1006,1008,0.0,0.3,0.8,Overcast,Light rain shower,Light rain
2010-07-10,26,27,23,84,79,94,9,13,9,1007,1005,1007,0.0,0.6,0.2,Cloudy,Moderate or heavy rain shower,Light rain shower
2010-07-11,24,25,23,92,87,94,8,12,10,1008,1007,1008,0.1,0.6,0.4,Light rain shower,Moderate or heavy rain shower,Light rain shower
2010-07-12,24,26,23,88,81,93,12,13,11,1007,1005,1008,0.0,0.4,0.7,Light rain shower,Light rain shower,Light rain shower
2010-07-13,23,25,23,92,85,94,9,14,9,1007,1006,1007,0.6,0.6,0.3,Moderate or heavy rain shower,Moderate or heavy rain shower,Light rain shower
2010-07-14,25,26,23,83,80,94,11,12,7,1008,1005,1007,0.1,0.5,0.4,Light rain shower,Patchy rain possible,Light rain shower
2010-07-15,24,26,23,88,85,95,4,7,6,1006,1004,1004,0.1,0.5,0.0,Light rain shower,Patchy rain possible,Mist
2010-07-16,26,28,24,82,78,94,6,10,7,1004,1001,1003,0.0,0.4,0.8,Cloudy,Light rain shower,Light rain shower
2010-07-17,25,27,23,87,82,94,6,8,8,1003,1002,1005,0.0,0.3,0.3,Light rain shower,Light rain shower,Light rain shower
2010-07-18,24,28,24,84,72,93,6,10,7,1004,1002,1004,0.0,0.0,0.2,Cloudy,Patchy rain possible,Light rain shower
2010-07-19,25,26,24,86,84,94,6,9,6,1003,1001,1002,0.0,0.2,0.2,Cloudy,Light rain shower,Light rain shower
2010-07-20,25,27,24,89,81,94,9,10,7,1002,1000,1002,0.3,0.3,0.2,Light rain shower,Light rain shower,Light rain shower
2010-07-21,26,27,24,82,80,94,6,10,8,1003,1001,1003,0.0,0.3,0.3,Cloudy,Light rain shower,Light rain shower
2010-07-22,24,24,22,93,93,95,9,12,9,1003,1002,1004,0.3,0.6,0.7,Light rain,Moderate rain,Light rain
2010-07-23,24,24,23,95,93,95,8,11,10,1004,1003,1003,0.3,0.3,0.3,Light rain,Light rain shower,Light rain shower
2010-07-25,23,23,22,95,95,96,12,15,13,1001,1000,1000,0.6,1.0,0.4,Moderate or heavy rain shower,Moderate or heavy rain shower,Light rain shower
2010-07-26,23,24,23,95,91,96,12,16,15,1001,1000,1000,0.4,0.6,1.8,Light rain shower,Moderate or heavy rain shower,Moderate rain
2010-07-27,23,25,23,94,85,95,10,13,9,1002,1001,1003,0.2,0.2,0.3,Light rain,Light rain shower,Light rain shower
2010-07-28,24,27,23,92,80,94,5,11,7,1004,1002,1004,0.1,0.3,0.0,Light drizzle,Patchy light rain with thunder,Mist
2010-07-29,25,28,22,82,73,93,6,12,9,1004,1002,1004,0.0,0.3,0.0,Cloudy,Light rain shower,Cloudy
2010-07-30,25,28,24,80,75,96,7,8,5,1005,1002,1004,0.0,0.4,0.4,Cloudy,Light rain shower,Light rain
2010-07-31,23,23,22,92,95,98,8,6,6,1005,1004,1005,0.1,0.9,0.3,Light drizzle,Moderate rain,Light drizzle
2010-08-01,23,23,22,94,97,99,8,9,10,1005,1004,1005,0.4,2.6,4.2,Light rain,Heavy rain,Heavy rain
2010-08-02,22,23,22,98,97,98,6,9,11,1004,1002,1001,0.2,0.4,1.2,Light rain,Light rain,Moderate rain
2010-08-03,23,22,21,95,97,98,11,12,12,1001,999,1002,0.3,0.7,3.8,Light rain shower,Moderate rain,Heavy rain
2010-08-04,23,22,22,93,94,98,12,10,6,1003,1003,1004,0.2,0.4,0.2,Light rain shower,Patchy light rain,Light drizzle
2010-08-05,23,26,22,92,80,96,9,13,8,1006,1005,1006,0.1,0.1,0.0,Light rain shower,Patchy rain possible,Mist
2010-08-06,23,24,22,92,89,97,9,11,8,1007,1005,1006,0.1,0.2,0.2,Light drizzle,Light rain shower,Light drizzle
2010-08-07,21,22,21,96,94,97,9,13,11,1006,1004,1005,0.3,0.1,0.3,Light rain,Light drizzle,Light drizzle
2010-08-08,22,24,22,90,78,96,12,15,9,1005,1004,1005,0.0,0.0,0.0,Patchy light drizzle,Light rain shower,Mist
2010-08-09,24,26,22,85,76,95,10,12,7,1007,1004,1005,0.0,0.1,0.1,Light drizzle,Patchy rain possible,Light rain shower
