observation,tempC_7to8,tempC_1to2,tempC_6to7,tempC_avg,humidity_7to8,humidity_1to2,humidity_6to7,humidity_avg,windspeedKmph_7to8,windspeedKmph_1to2,windspeedKmph_6to7,windspeedKmph_avg,pressureMB_7to8,pressureMB_1to2,pressureMB_6to7,pressureMB_avg,precipMM_7to8,precipMM_1to2,precipMM_6to7,precipMM_avg,weatherDesc_7to8,weatherDesc_1to2,weatherDesc_6to7,%_soil_moisure,soil_pH,water_pH,water_TDS_mgpl
2018-02-27,28,34,29,30,27,17,24,22,14,10,5,9,1013,1009,1010,1010,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,44,6.9,7.43,1708.0
2018-02-28,28,35,30,31,23,14,23,20,16,6,2,8,1013,1009,1010,1010,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,42,6.71,7.11,1707.0
2018-03-01,29,35,29,31,23,15,26,21,6,4,6,5,1012,1009,1010,1010,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,31,7.14,6.59,1709.0
2018-03-02,29,36,29,31,23,14,22,19,5,4,7,5,1012,1009,1009,1010,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,35,7.19,6.87,1707.0
2018-03-03,29,34,28,30,22,16,23,20,6,5,16,9,1011,1008,1009,1009,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,30,7.39,6.66,1709.0
2018-03-04,28,33,27,29,24,17,25,22,1,11,17,9,1011,1008,1008,1009,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,35,6.56,6.63,1708.0
2018-03-05,27,33,28,29,24,17,26,22,8,6,9,7,1012,1010,1010,1010,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,35,7.33,7.27,1709.0
2018-03-06,28,34,30,30,25,16,22,21,10,9,9,9,1013,1009,1010,1010,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,35,7.44,7.19,1707.0
2018-03-07,29,35,27,30,21,15,29,21,15,13,11,13,1011,1008,1010,1009,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,30,7.43,8.35,1709.0
2018-03-08,29,34,28,30,25,17,29,23,4,4,13,7,1012,1009,1010,1010,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,31,6.83,8.15,1709.0
2018-03-09,29,35,28,30,23,14,24,20,11,8,13,10,1013,1009,1010,1010,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,31,6.78,8.31,1709.0
2018-03-11,30,35,28,31,20,14,20,18,8,9,16,11,1013,1010,1011,1011,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,35,6.94,8.32,1707.0
2018-03-12,29,35,29,31,15,12,17,14,11,8,11,10,1013,1009,1010,1010,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,34,7.14,8.17,1707.0
2018-03-13,30,35,27,30,12,13,18,14,8,10,16,11,1013,1009,1010,1010,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,30,7.38,8.18,1710.0
2018-03-14,27,33,26,28,16,14,13,14,9,15,13,12,1012,1009,1010,1010,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,32,6.87,7.15,1709.0
2018-03-15,25,29,27,27,17,20,26,21,5,6,5,5,1012,1010,1011,1011,0.0,0.0,0.0,0.0,Sunny,Sunny,Partly cloudy,30,6.89,7.66,1627.35
2018-03-16,27,32,29,29,28,16,25,23,3,8,10,7,1011,1009,1009,1009,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,30,6.72,8.46,1707.0
2018-03-17,28,34,30,30,27,17,24,22,5,3,3,3,1012,1009,1009,1010,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,34,6.54,6.73,1709.0
2018-03-18,29,32,29,30,25,26,31,27,8,8,7,7,1011,1009,1011,1010,0.0,0.0,0.0,0.0,Sunny,Partly cloudy,Partly cloudy,35,7.3,6.99,1710.0
2018-03-19,28,32,28,29,42,29,30,33,3,7,13,7,1013,1011,1012,1012,0.0,0.0,0.0,0.0,Partly cloudy,Partly cloudy,Clear,31,7.37,6.71,1709.0
2018-03-20,27,33,27,29,35,18,27,26,8,15,10,11,1013,1009,1010,1010,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,31,6.62,6.88,1708.0
2018-03-21,27,32,26,28,34,16,24,24,8,15,14,12,1012,1009,1010,1010,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,33,7.03,7.76,1707.0
2018-03-22,25,32,25,27,34,17,37,29,11,12,14,12,1012,1009,1010,1010,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,34,7.5,7.93,1707.0
2018-03-23,26,33,28,29,36,15,30,27,6,3,9,6,1012,1009,1010,1010,0.0,0.0,0.0,0.0,Sunny,Sunny,Partly cloudy,35,6.69,6.69,1708.0
2018-03-24,28,34,29,30,19,11,17,15,13,7,6,8,1013,1011,1011,1011,0.0,0.0,0.0,0.0,Cloudy,Partly cloudy,Overcast,31,6.76,6.71,1710.0
2018-03-25,31,36,31,32,14,11,15,13,19,13,9,13,1014,1011,1012,1012,0.0,0.0,0.0,0.0,Partly cloudy,Overcast,Overcast,31,6.79,7.19,1710.0
2018-03-26,31,38,31,33,14,10,15,13,12,3,8,7,1014,1010,1011,1011,0.0,0.0,0.0,0.0,Overcast,Sunny,Clear,31,6.52,8.13,1709.0
2018-03-27,33,37,30,33,11,10,23,14,3,16,14,11,1012,1009,1010,1010,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,30,6.81,8.39,1707.0
2018-03-28,30,36,29,31,24,13,25,20,11,19,12,14,1011,1008,1009,1009,0.0,0.0,0.0,0.0,Sunny,Partly cloudy,Partly cloudy,30,7.15,7.85,1709.0
2018-03-29,30,36,29,31,20,11,33,21,7,10,15,10,1011,1008,1009,1009,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,30,6.96,7.89,1709.0
2018-03-30,30,36,29,31,23,13,34,23,10,16,14,13,1011,1007,1008,1008,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,34,7.4,6.58,1627.35
2018-03-31,29,35,28,30,33,17,30,26,14,17,15,15,1010,1008,1008,1008,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,31,7.17,8.46,1710.0
2018-04-01,29,36,29,31,24,13,33,23,11,10,17,12,1010,1007,1007,1008,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,33,6.72,7.03,1708.0
2018-04-02,30,37,30,32,21,12,23,18,6,8,17,10,1011,1008,1009,1009,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,35,7.02,7.06,1707.0
2018-04-03,30,36,31,32,23,13,26,20,10,8,13,10,1011,1007,1008,1008,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,35,6.68,7.66,1710.0
2018-04-04,31,37,31,33,23,11,22,18,11,9,15,11,1009,1005,1006,1006,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,34,7.26,8.08,1710.0
2018-04-05,31,37,31,33,23,14,20,19,13,15,18,15,1008,1004,1005,1005,0.0,0.0,0.0,0.0,Sunny,Sunny,Overcast,31,6.59,6.98,1710.0
2018-04-06,30,35,29,31,24,17,22,21,11,19,9,13,1009,1007,1007,1007,0.0,0.0,0.0,0.0,Partly cloudy,Sunny,Clear,30,6.5,7.33,1708.0
2018-04-07,30,36,30,32,30,17,26,24,7,12,6,8,1011,1007,1007,1008,0.0,0.0,0.5,0.16666666666666666,Sunny,Sunny,Patchy rain possible,33,6.7,8.42,1710.0
2018-04-08,31,35,29,31,21,15,29,21,8,12,14,11,1011,1008,1009,1009,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,35,7.47,8.0,1710.0
2018-04-09,30,35,29,31,19,13,27,19,5,9,17,10,1012,1009,1009,1010,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,35,7.44,8.43,1710.0
2018-04-10,31,36,29,32,21,14,34,23,7,9,20,12,1010,1007,1008,1008,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,32,7.26,7.77,1708.0
2018-04-11,30,35,29,31,29,19,35,27,6,16,15,12,1011,1008,1008,1009,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,31,6.77,7.98,1707.0
2018-04-12,30,35,30,31,28,19,39,28,8,17,15,13,1010,1007,1007,1008,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,32,6.57,7.81,1709.0
2018-04-14,31,36,31,32,27,18,32,25,9,17,15,13,1010,1007,1007,1008,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,32,7.21,8.09,1710.0
2018-04-15,31,37,31,33,30,20,37,29,8,15,16,13,1010,1007,1008,1008,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,30,7.27,7.04,1634.0
2018-04-16,31,37,33,33,36,21,32,29,8,13,16,12,1011,1008,1008,1009,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,30,6.8,7.34,1710.0
2018-04-17,33,37,33,34,31,22,28,27,5,9,12,8,1011,1009,1009,1009,0.0,0.0,0.2,0.06666666666666667,Sunny,Sunny,Clear,30,7.1,7.19,1709.0
2018-04-18,33,38,32,34,34,18,22,24,9,21,16,15,1012,1008,1009,1009,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,32,7.17,6.81,1709.0
2018-04-19,33,38,32,34,16,13,18,15,11,18,17,15,1009,1005,1006,1006,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,32,7.37,7.59,1708.0
2018-04-20,31,36,30,32,29,19,35,27,18,25,13,18,1009,1007,1009,1008,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,32,6.75,6.79,1709.0
2018-04-21,30,36,31,32,36,19,22,25,13,17,16,15,1010,1007,1007,1008,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,30,6.52,7.9,1710.0
2018-04-22,30,37,31,32,25,14,24,21,8,15,13,12,1010,1007,1008,1008,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,32,7.25,7.06,1709.0
2018-04-23,31,38,31,33,23,10,20,17,9,17,15,13,1010,1007,1008,1008,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,31,6.99,7.59,1707.0
2018-04-24,32,38,32,34,17,6,12,11,7,18,17,14,1010,1007,1008,1008,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,31,7.41,8.08,1707.0
2018-04-25,32,37,30,33,15,10,18,14,10,18,18,15,1009,1006,1007,1007,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,32,6.95,7.29,1708.0
2018-04-26,30,36,29,31,25,17,43,28,10,15,18,14,1009,1006,1006,1007,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,32,7.31,7.14,1707.0
2018-04-27,31,38,30,33,23,14,47,28,9,14,18,13,1009,1007,1008,1008,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,32,6.69,7.01,1710.0
2018-04-28,32,38,31,33,29,17,37,27,13,19,17,16,1010,1007,1008,1008,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,32,6.83,7.47,1709.0
2018-04-29,31,37,29,32,33,20,48,33,16,26,18,20,1010,1006,1007,1007,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,34,6.53,7.33,1710.0
2018-04-30,30,37,30,32,37,18,43,32,19,26,18,21,1008,1006,1007,1007,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,31,7.4,8.19,1630.2
2018-05-01,30,37,30,32,43,19,38,33,16,25,19,20,1009,1007,1007,1007,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,35,7.49,7.31,1710.0
2018-05-02,31,37,30,32,42,22,38,34,15,22,21,19,1009,1006,1007,1007,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,30,6.61,6.51,1709.0
2018-05-03,31,37,30,32,34,17,34,28,12,20,17,16,1009,1007,1008,1008,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,33,7.48,8.39,1708.0
2018-05-04,31,37,30,32,30,19,44,31,9,21,17,15,1009,1007,1008,1008,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,34,6.68,7.88,1707.0
2018-05-05,31,37,31,33,36,23,40,33,9,20,18,15,1010,1007,1008,1008,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,34,6.54,7.62,1710.0
2018-05-06,33,38,31,34,25,23,39,29,10,22,20,17,1010,1007,1008,1008,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,33,6.61,8.08,1707.0
2018-05-07,30,37,31,32,39,16,29,28,16,21,15,17,1010,1007,1007,1008,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,30,6.63,8.03,1707.0
2018-05-08,30,37,31,32,36,14,27,25,17,23,12,17,1010,1007,1006,1007,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,31,7.02,8.37,1707.0
2018-05-09,32,39,33,34,31,13,24,22,12,14,18,14,1010,1006,1007,1007,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,35,7.46,6.98,1709.0
2018-05-10,35,40,33,36,19,15,32,22,5,9,19,11,1010,1007,1007,1008,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,33,7.35,6.53,1710.0
2018-05-11,31,38,32,33,41,21,38,33,17,16,17,16,1010,1007,1006,1007,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,32,6.67,8.46,1709.0
2018-05-12,31,37,32,33,39,22,34,31,20,20,15,18,1010,1007,1007,1008,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,33,7.29,8.37,1710.0
2018-05-13,30,36,32,32,42,27,37,35,12,17,15,14,1009,1006,1006,1007,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,32,6.95,8.36,1710.0
2018-05-14,31,37,31,33,46,21,35,34,17,23,16,18,1010,1006,1007,1007,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,33,7.35,7.8,1708.0
2018-05-15,30,37,31,32,48,23,39,36,15,17,18,16,1009,1006,1006,1007,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,34,7.34,6.68,1628.3
2018-05-16,32,38,34,34,35,21,28,28,15,18,16,16,1008,1005,1004,1005,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,34,7.29,7.15,1709.0
2018-05-18,31,38,32,33,50,22,37,36,19,24,16,19,1007,1004,1005,1005,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,34,6.91,6.5,1708.0
2018-05-19,32,37,31,33,33,17,37,29,17,24,19,20,1007,1004,1005,1005,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,31,6.52,8.48,1710.0
2018-05-20,32,38,29,33,32,15,54,33,15,26,22,21,1007,1005,1006,1006,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,35,7.29,7.45,1707.0
2018-05-21,31,37,30,32,35,21,43,33,16,23,20,19,1007,1005,1006,1006,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,32,7.43,7.48,1707.0
2018-05-22,31,37,30,32,31,24,39,31,17,24,18,19,1007,1006,1006,1006,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,35,6.51,8.14,1710.0
2018-05-23,31,38,32,33,36,20,40,32,17,22,18,19,1007,1004,1004,1005,0.0,0.0,0.0,0.0,Partly cloudy,Sunny,Clear,32,7.39,7.1,1708.0
2018-05-24,31,37,30,32,43,28,53,41,21,24,18,21,1007,1004,1005,1005,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,34,7.44,7.66,1710.0
2018-05-25,28,37,31,32,55,19,31,35,20,23,17,20,1007,1004,1005,1005,0.0,0.0,0.0,0.0,Partly cloudy,Sunny,Clear,34,6.73,6.94,1708.0
2018-05-26,31,39,35,35,55,22,25,34,16,18,15,16,1006,1002,1003,1003,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,33,6.61,8.2,1709.0
2018-05-27,33,39,33,35,37,25,35,32,12,17,19,16,1005,1002,1002,1003,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,35,7.09,7.36,1710.0
2018-05-28,32,39,30,33,52,25,56,44,16,20,22,19,1004,1000,1001,1001,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,34,7.45,7.3,1707.0
2018-05-29,29,34,29,30,63,42,63,56,26,25,23,24,1004,1002,1003,1003,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,35,6.71,6.92,1707.0
2018-05-30,29,35,29,31,62,39,66,55,23,25,24,24,1004,1003,1003,1003,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,35,7.22,6.6,1624.5
2018-05-31,30,37,29,32,59,32,63,51,16,22,24,20,1005,1003,1004,1004,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,31,7.4,6.99,1709.0
2018-06-01,30,37,29,32,57,32,63,50,12,19,21,17,1007,1004,1005,1005,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,30,6.97,7.71,1709.0
2018-06-02,30,36,29,31,58,36,65,53,13,14,23,16,1007,1005,1006,1006,0.0,0.0,2.3,0.7666666666666666,Sunny,Sunny,Moderate or heavy rain shower,33,7.1,7.63,1710.0
2018-06-03,27,30,28,28,73,65,70,69,15,20,15,16,1007,1004,1004,1005,0.0,0.0,0.0,0.0,Thundery outbreaks possible,Cloudy,Partly cloudy,35,7.38,8.43,1708.0
2018-06-04,29,36,30,31,61,38,58,52,16,17,21,18,1005,1002,1002,1003,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,35,7.01,6.95,1710.0
2018-06-05,30,35,31,32,53,37,55,48,12,17,19,16,1005,1003,1003,1003,0.0,0.0,0.0,0.0,Sunny,Sunny,Clear,35,7.33,7.44,1710.0
